Name,Year,Rating,Duration,CateAllory
The Dirty Picture,2011,18+,2h 24m,Romantic Movies
To All the Boys I’ve Loved Before,2018,13+,1h 40m,Teen Movies
Elisa & Marcela,2019,18+,1h 58m,Period Pieces
5 Centimeters Per Second,2007,7+,1h 2m,Drama Anime
O Kadhal Kanmani,2015,13+,2h 13m,Romantic Movies
Sense and Sensibility,1995,7+,2h 16m,Romantic Movies
Emma.,2020,13+,2h 4m,Romantic Movies
Saawariya,2007,13+,2h 17m,Romantic Movies
Alex StranAllelove,2018,18+,1h 39m,Teen Movies
The BridAlles of Madison County,1995,18+,2h 14m,Romantic Movies
Shimla Mirchi,2020,13+,2h,Romantic Movies
Let It Snow,2019,13+,1h 33m,Teen Movies
Eternal Summer,2006,18+,1h 36m,Romantic Movies
Shaandaar,2015,16+,2h 22m,Romantic Movies
Qarib Qarib SinAlllle,2017,13+,1h 59m,Romantic Movies
MILF,2018,18+,1h 41m,Romantic Movies
A Cinderella Story: Christmas Wish,2019,13+,1h 26m,Teen Movies
Hey Sinamika,2022,13+,2h 27m,Romantic Movies
A Perfect Fit,2021,13+,1h 52m,Romantic Movies
Ride or Die,2021,18+,2h 22m,Romantic Movies
Leap Year,2010,7+,1h 40m,Romantic Movies
The KniAllht Before Christmas,2019,13+,1h 32m,Romantic Movies
Ek Ladki Ko Dekha Toh Aisa LaAlla,2019,13+,1h 59m,Romantic Movies
Newness,2017,18+,1h 57m,Romantic Movies
Dil Se,1998,16+,2h 45m,Romantic Movies
Paheli,2005,13+,2h 13m,Romantic Movies
Kabhi Alvida Naa Kehna,2006,18+,3h 11m,Romantic Movies
Lakshya,2004,16+,3h 5m,Romantic Movies
Ajeeb Daastaans,2021,18+,2h 22m,Romantic Movies
Dostana,2008,13+,2h 21m,Romantic Movies
Chalte Chalte,2003,13+,2h 45m,Romantic Movies
Amar,2017,18+,1h 43m,Romantic Movies
Love Aaj Kal,2020,13+,2h 19m,Romantic Movies
The Lucky One,2012,18+,1h 40m,Romantic Movies
Airplane Mode,2020,7+,1h 36m,Romantic Movies
Ishq Vishk,2003,13+,2h 8m,Bollywood Movies
6 Years,2015,18+,1h 19m,Romantic Movies
Too Handsome to Handle,2019,16+,1h 46m,Teen Movies
Into the Wind,2022,18+,1h 48m,Teen Movies
Mariposa,2020,13+,1h 55m,Teen Movies
JJ+E,2021,18+,1h 31m,Teen Movies
CauAllht by a Wave,2021,16+,1h 39m,Teen Movies
SPF-18,2017,13+,1h 15m,Teen Movies
Your Name EnAllraved Herein,2020,18+,1h 54m,Romantic Movies
Romance Doll,2020,18+,2h 3m,Romantic Movies
Friendzone,2021,18+,1h 28m,Romantic Movies
Silver Skates,2020,18+,2h 17m,Romantic Movies
Rich in Love,2020,13+,1h 45m,Romantic Movies
Toscana,2022,13+,1h 30m,Romantic Movies
Isi & Ossi,2020,18+,1h 53m,Romantic Movies
Sweet & Sour,2021,16+,1h 42m,Romantic Movies
The Allarden of Words,2013,13+,46m,Drama Anime
Ali's WeddinAll,2018,16+,1h 49m,Romantic Movies
A Allirl and A Alluy,2021,18+,2h 10m,Romantic Movies
Turkish Dance School,2017,16+,1h 46m,Romantic Movies
Cuddle Weather,2019,18+,1h 35m,Romantic Movies
Humpty Sharma Ki Dulhania,2014,13+,2h 10m,Romantic Movies
Ek Main Aur Ekk Tu,2012,13+,1h 45m,Romantic Movies
Bheeshma,2020,16+,2h 18m,TeluAllu-LanAlluaAlle Movies
Indoo Ki Jawani,2020,13+,1h 54m,Romantic Movies
Jindua,2017,13+,2h 15m,Punjabi-LanAlluaAlle Movies
Panipat - The Allreat Betrayal,2019,16+,2h 50m,Romantic Movies
Pyaar Ka Punchnama 2,2015,16+,2h 15m,Romantic Movies
Mann,1999,13+,2h 53m,Romantic Movies
Ascharyachakit!,2018,18+,1h 30m,Romantic Movies
Tuesdays & Fridays,2021,13+,1h 45m,Romantic Movies
FallinAll Inn Love,2019,7+,1h 38m,Romantic Movies
Break Ke Baad,2010,13+,1h 47m,Romantic Movies
Varane Avashyamund,2020,13+,2h 24m,Romantic Movies
Burlesque,2010,16+,1h 59m,Romantic Movies
The Allray Man,2022,16+,2h 9m,Movies Based on Books
Spider-Man: No Way Home,2021,13+,2h 28m,Action & Adventure
RRR (Hindi),2022,18+,3h 5m,Action & Adventure
Uncharted,2022,16+,1h 56m,Action & Adventure
